City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,hovd,48.0056,91.6419,-16.94,80,5,1.39,MN,1670278360
272,aswan,24.0934,32.907,17.44,55,0,5.52,EG,1670278362
273,vila velha,-20.3297,-40.2925,23.97,87,0,5.14,BR,1670278364
274,kutum,14.2,24.6667,16.1,25,10,5.06,SD,1670278367
275,leningradskiy,69.3833,178.4167,-27.3,93,5,1.9,RU,1670278369
276,xiaoweizhai,26.1903,107.5125,2.07,89,52,1.51,CN,1670278372
277,sambava,-14.2667,50.1667,24.05,85,29,4.71,MG,1670278374
278,qaqortoq,60.7167,-46.0333,-1.76,71,73,4.98,GL,1670278376
279,yatou,37.15,122.3833,-0.69,56,2,4.18,CN,1670278379
280,kungurtug,50.5994,97.5228,-27.97,95,22,0.57,RU,1670278383
281,jeremie,18.65,-74.1167,25.62,68,7,4.95,HT,1670278385
282,acarau,-2.8856,-40.12,26.56,78,8,8.78,BR,1670278388
283,padampur,29.6833,73.6167,14.53,29,2,1.46,IN,1670278390
284,avera,33.194,-82.5271,11.32,96,100,2.79,US,1670278393
285,carmen del parana,-27.2333,-56.2167,33.07,57,1,2.14,PY,1670278395
286,saldanha,-33.0117,17.9442,16.33,78,75,6.36,ZA,1670278397
287,sola,-13.8833,167.55,27.58,71,92,4.16,VU,1670278399
288,takoradi,4.8845,-1.7554,26.5,85,59,3.21,GH,1670278402
289,brae,60.3964,-1.353,5.83,67,100,9.58,GB,1670278404
290,bonavista,48.6499,-53.1147,2.44,93,100,6.24,CA,1670278409
291,locri,38.2414,16.2623,12.95,73,55,1.28,IT,1670278413
292,bad neuenahr-ahrweiler,50.55,7.1,1.94,97,100,1.14,DE,1670278415
293,jinchang,38.4953,102.1739,-5.28,58,89,1.79,CN,1670278418
294,nicoya,10.1483,-85.452,26.92,74,53,2.25,CR,1670278420
295,murgab,37.4966,61.9714,-1.67,42,0,2.73,TM,1670278422
296,labuhan,-6.8844,112.2051,25.95,84,100,1.96,ID,1670278425
297,petropavlovsk-kamchatskiy,53.0452,158.6483,-14.67,66,75,1.0,RU,1670278427
298,rodez,44.5,2.5833,1.13,100,0,1.03,FR,1670278350
299,seguela,7.9611,-6.6731,26.88,57,99,0.33,CI,1670278431
300,bardoli,21.1167,73.1167,22.95,60,12,2.69,IN,1670278434
301,belmonte,-15.8631,-38.8828,23.4,83,100,2.88,BR,1670278436
302,mahebourg,-20.4081,57.7,24.16,88,75,4.63,MU,1670278440
303,coquimbo,-29.9533,-71.3436,17.85,72,20,4.63,CL,1670278397
304,saurimo,-9.6608,20.3916,16.93,97,71,0.27,AO,1670278445
305,mincivan,39.0294,46.7185,-0.5,95,98,0.6,AZ,1670278447
306,paita,-5.0892,-81.1144,21.14,75,3,7.28,PE,1670278450
307,wonthaggi,-38.6044,145.5913,13.79,77,94,3.26,AU,1670278452
308,sabang,5.8933,95.3214,26.55,78,87,2.8,ID,1670278454
309,kruisfontein,-34.0033,24.7314,13.82,91,3,3.44,ZA,1670278457
310,ouesso,1.6136,16.0517,22.53,85,47,1.43,CG,1670278459
311,ahipara,-35.1667,173.1667,20.31,66,100,2.4,NZ,1670278462
312,halifax,44.6453,-63.5724,2.34,76,0,1.34,CA,1670278044
313,ardino,41.5833,25.1333,4.02,90,73,0.73,BG,1670278468
314,angren,41.0167,70.1436,-1.99,96,100,0.59,UZ,1670278470
315,severo-kurilsk,50.6789,156.125,-4.64,76,98,9.47,RU,1670278475
316,padang,-0.9492,100.3543,24.68,88,100,1.87,ID,1670278477
317,methven,-43.6333,171.65,18.28,52,39,4.25,NZ,1670278480
318,bay roberts,47.5999,-53.2648,4.73,96,100,1.96,CA,1670278482
319,tagusao,9.1924,117.8141,25.73,84,98,1.85,PH,1670278484
320,manjeshwar,12.7194,74.8861,24.49,83,75,1.79,IN,1670278487
321,wuda,39.4994,106.7117,-6.25,45,48,0.37,CN,1670278489
322,port blair,11.6667,92.75,27.14,83,99,9.3,IN,1670278491
323,de aar,-30.6497,24.0123,14.77,56,61,7.81,ZA,1670278493
324,vao,-22.6667,167.4833,25.25,87,100,4.41,NC,1670278496
325,fortuna,40.5982,-124.1573,13.29,80,100,0.89,US,1670278500
326,beyneu,45.3167,55.2,-6.25,74,100,3.96,KZ,1670278503
327,la suiza,9.8524,-83.6133,26.97,86,70,1.75,CR,1670278505
328,kidal,18.4411,1.4078,26.33,14,100,4.95,ML,1670278508
329,leh,34.1667,77.5833,-8.85,50,50,0.6,IN,1670278510
330,kabo,7.6994,18.629,26.82,29,67,0.87,CF,1670278513
331,miranda,3.2499,-76.2281,25.07,85,67,0.42,CO,1670278515
332,boulder city,35.9786,-114.8325,16.91,55,40,6.17,US,1670278520
333,campoverde,-8.4753,-74.8058,31.83,48,93,1.39,PE,1670278522
334,pacific grove,36.6177,-121.9166,15.6,80,100,4.12,US,1670278440
335,weinan,34.5036,109.5089,1.98,60,100,0.42,CN,1670278527
336,ocumare del tuy,10.1165,-66.7761,23.91,69,44,1.46,VE,1670278529
337,deputatskiy,69.3,139.9,-31.58,96,100,1.47,RU,1670278532
338,nipawin,53.3668,-104.0009,-25.98,70,0,2.57,CA,1670278534
339,kargasok,59.0556,80.8572,-18.11,96,100,3.24,RU,1670278536
340,suihua,46.6406,126.9969,-17.69,90,6,4.73,CN,1670278539
341,north bend,43.4065,-124.2243,11.2,90,100,2.06,US,1670278536
342,grindavik,63.8424,-22.4338,0.26,100,10,1.54,IS,1670278543
343,tabas,33.5959,56.9244,6.12,49,37,0.0,IR,1670278545
344,isabela,6.7085,121.9711,24.03,86,98,1.33,PH,1670278548
345,chara,56.9064,118.2631,-19.56,75,100,2.51,RU,1670278550
346,kiruna,67.8557,20.2251,-5.49,86,100,2.57,SE,1670278552
347,teluknaga,-6.0989,106.6381,27.02,94,20,1.54,ID,1670278555
348,mangrol,21.1167,70.1167,20.44,40,0,5.64,IN,1670278557
349,cairns,-16.9167,145.7667,26.97,68,4,1.54,AU,1670278560
350,port hardy,50.6996,-127.4199,2.1,93,75,1.54,CA,1670278537
351,straseni,47.1414,28.6103,-3.04,99,100,4.12,MD,1670278564
352,haguenau,48.8156,7.7905,5.42,85,100,1.36,FR,1670278380
353,rogovatoye,51.23,38.3818,-9.07,66,30,2.8,RU,1670278569
354,turayf,31.6725,38.6637,10.14,76,0,2.06,SA,1670278575
355,carutapera,-1.195,-46.02,26.22,79,100,3.48,BR,1670278578
356,clearwater,27.9659,-82.8001,25.58,70,0,3.6,US,1670278536
357,sept-iles,50.2001,-66.3821,-0.53,88,100,7.2,CA,1670278363
358,yenagoa,4.9247,6.2642,25.81,88,51,1.69,NG,1670278584
359,tessalit,20.1986,1.0114,25.46,15,87,4.46,ML,1670278587
360,nouakchott,18.0858,-15.9785,21.96,63,32,3.35,MR,1670278591
361,provideniya,64.3833,-173.3,0.2,80,100,14.0,RU,1670278343
362,nioro,13.35,-15.75,23.29,61,41,1.98,GM,1670278595
